,lstm_units,num_layers,mlp_unit_0,mlp_dropout,mlp_activation,optimizer,loss,mlp_unit_1,mlp_unit_2,val_loss,val_mae,val_mse,score
0,192,2,256,0.1,relu,adam,mean_squared_error,224.0,192.0,0.06427636556327343,0.16539828479290009,0.06427636556327343,0.06427636556327343
1,192,1,224,0.2,relu,adam,mean_squared_error,64.0,64.0,0.06721248105168343,0.17015691101551056,0.06721248105168343,0.06721248105168343
2,224,1,192,0.5,relu,adam,mean_squared_error,96.0,256.0,0.06748192757368088,0.1682358682155609,0.06748192757368088,0.06748192757368088
3,256,3,224,0.1,elu,rmsprop,mean_squared_error,64.0,128.0,0.06834228336811066,0.16944804787635803,0.06834228336811066,0.06834228336811066
4,224,1,64,0.4,relu,rmsprop,mean_squared_error,256.0,64.0,0.06864399090409279,0.16725601255893707,0.06864399090409279,0.06864399090409279
5,256,2,96,0.1,elu,rmsprop,mean_squared_error,128.0,96.0,0.06869017705321312,0.1657567396759987,0.06869017705321312,0.06869017705321312
6,160,2,192,0.1,relu,adam,mean_squared_error,256.0,32.0,0.06902071461081505,0.17149322479963303,0.06902071461081505,0.06902071461081505
7,224,1,160,0.5,relu,rmsprop,mean_squared_error,32.0,64.0,0.0692344382405281,0.1668122410774231,0.0692344382405281,0.0692344382405281
8,160,2,224,0.4,elu,rmsprop,mean_squared_error,256.0,96.0,0.0695890374481678,0.16488396376371384,0.0695890374481678,0.0695890374481678
9,192,2,256,0.30000000000000004,elu,adam,mean_squared_error,64.0,256.0,0.0697774775326252,0.17060556262731552,0.0697774775326252,0.0697774775326252
10,128,2,192,0.4,elu,adam,mean_squared_error,96.0,256.0,0.06993730366230011,0.17078883200883865,0.06993730366230011,0.06993730366230011
11,224,2,96,0.1,relu,rmsprop,mean_squared_error,64.0,128.0,0.07015473023056984,0.16641046106815338,0.07015473023056984,0.07015473023056984
12,160,2,128,0.1,elu,adam,mean_squared_error,32.0,,0.07020499929785728,0.17016509175300598,0.07020499929785728,0.07020499929785728
13,256,2,160,0.1,relu,adam,mean_squared_error,224.0,192.0,0.07124036177992821,0.1739189550280571,0.07124036177992821,0.07124036177992821
14,160,3,224,0.1,elu,rmsprop,mean_squared_error,224.0,32.0,0.07227756083011627,0.1726868450641632,0.07227756083011627,0.07227756083011627
15,160,1,64,0.2,tanh,adam,mean_squared_error,160.0,96.0,0.07256762310862541,0.17214453220367432,0.07256762310862541,0.07256762310862541
16,256,3,96,0.30000000000000004,tanh,rmsprop,mean_squared_error,224.0,256.0,0.07266227900981903,0.16881805658340454,0.07266227900981903,0.07266227900981903
17,192,1,224,0.4,elu,rmsprop,mean_squared_error,64.0,96.0,0.07276412844657898,0.17028234153985977,0.07276412844657898,0.07276412844657898
18,192,2,128,0.5,relu,rmsprop,mean_squared_error,32.0,96.0,0.07292495295405388,0.18283630907535553,0.07292495295405388,0.07292495295405388
19,160,1,160,0.1,elu,rmsprop,mean_squared_error,32.0,32.0,0.07330244779586792,0.16685093194246292,0.07330244779586792,0.07330244779586792
20,224,2,96,0.30000000000000004,tanh,rmsprop,mean_squared_error,128.0,192.0,0.07515034079551697,0.17236818373203278,0.07515034079551697,0.07515034079551697
21,160,3,64,0.30000000000000004,tanh,rmsprop,mean_squared_error,96.0,64.0,0.07692603766918182,0.17350434511899948,0.07692603766918182,0.07692603766918182
22,128,1,96,0.1,tanh,rmsprop,mean_squared_error,224.0,160.0,0.0779217965900898,0.17666813731193542,0.0779217965900898,0.0779217965900898
23,128,2,160,0.4,elu,adam,mean_squared_error,96.0,64.0,0.0785672552883625,0.17898868769407272,0.0785672552883625,0.0785672552883625
24,96,3,224,0.30000000000000004,elu,adam,mean_squared_error,96.0,64.0,0.07863129675388336,0.17673955112695694,0.07863129675388336,0.07863129675388336
25,96,1,192,0.2,relu,rmsprop,mean_squared_error,192.0,96.0,0.08253702148795128,0.18132802844047546,0.08253702148795128,0.08253702148795128
26,64,3,128,0.1,tanh,rmsprop,mean_squared_error,32.0,160.0,0.08461916819214821,0.1799694076180458,0.08461916819214821,0.08461916819214821
27,64,1,160,0.5,relu,adam,mean_squared_error,128.0,32.0,0.0871882438659668,0.18607329577207565,0.0871882438659668,0.0871882438659668
28,64,1,96,0.30000000000000004,elu,rmsprop,mean_squared_error,192.0,96.0,0.08730871602892876,0.1864994540810585,0.08730871602892876,0.08730871602892876
29,64,3,96,0.5,tanh,adam,mean_squared_error,96.0,128.0,0.08745139464735985,0.18171218037605286,0.08745139464735985,0.08745139464735985
30,96,1,192,0.2,relu,adam,mean_squared_error,96.0,256.0,0.088041041046381,0.18636861443519592,0.088041041046381,0.088041041046381
31,64,2,128,0.2,elu,rmsprop,mean_squared_error,224.0,192.0,0.08816651999950409,0.18716634064912796,0.08816651999950409,0.08816651999950409
32,64,1,96,0.30000000000000004,elu,rmsprop,mean_squared_error,256.0,256.0,0.0884772315621376,0.18660856783390045,0.0884772315621376,0.0884772315621376
33,32,3,160,0.2,elu,adam,mean_squared_error,32.0,192.0,0.0913158655166626,0.19347868859767914,0.0913158655166626,0.0913158655166626
34,64,3,64,0.1,tanh,rmsprop,mean_squared_error,192.0,256.0,0.09223607555031776,0.19310742616653442,0.09223607555031776,0.09223607555031776
35,32,3,224,0.4,tanh,adam,mean_squared_error,160.0,224.0,0.09273818880319595,0.19705550372600555,0.09273818880319595,0.09273818880319595
36,32,1,224,0.5,relu,adam,mean_squared_error,,,0.09619609266519547,0.19659661501646042,0.09619609266519547,0.09619609266519547
37,64,1,32,0.2,elu,adam,mean_squared_error,96.0,32.0,0.09978819638490677,0.1928674727678299,0.09978819638490677,0.09978819638490677
38,64,1,224,0.1,tanh,rmsprop,mean_squared_error,160.0,96.0,0.10078701749444008,0.19155872613191605,0.10078701749444008,0.10078701749444008
39,256,1,192,0.5,elu,sgd,mean_squared_error,160.0,96.0,0.10306927561759949,0.20469290018081665,0.10306927561759949,0.10306927561759949
40,32,1,192,0.30000000000000004,tanh,adam,mean_squared_error,32.0,256.0,0.1046576015651226,0.20123320072889328,0.1046576015651226,0.1046576015651226
41,32,1,96,0.2,relu,rmsprop,mean_squared_error,256.0,128.0,0.10658901929855347,0.20001783221960068,0.10658901929855347,0.10658901929855347
42,224,1,192,0.5,tanh,sgd,mean_squared_error,32.0,160.0,0.10660435259342194,0.20378368347883224,0.10660435259342194,0.10660435259342194
43,160,3,128,0.5,relu,adam,mean_squared_error,256.0,224.0,0.11120137944817543,0.22207634896039963,0.11120137944817543,0.11120137944817543
44,32,1,128,0.4,tanh,adam,mean_squared_error,128.0,160.0,0.11189087480306625,0.20306453108787537,0.11189087480306625,0.11189087480306625
45,224,1,64,0.30000000000000004,tanh,sgd,mean_squared_error,64.0,192.0,0.11328160762786865,0.20940379053354263,0.11328160762786865,0.11328160762786865
46,96,1,256,0.1,elu,sgd,mean_squared_error,192.0,,0.11626880243420601,0.2138969898223877,0.11626880243420601,0.11626880243420601
47,192,2,160,0.5,tanh,sgd,mean_squared_error,192.0,192.0,0.11632152646780014,0.21028069406747818,0.11632152646780014,0.11632152646780014
48,160,2,96,0.1,tanh,sgd,mean_squared_error,256.0,128.0,0.11850010976195335,0.2126997411251068,0.11850010976195335,0.11850010976195335
49,160,1,32,0.30000000000000004,tanh,sgd,mean_squared_error,64.0,96.0,0.11912333220243454,0.2104901671409607,0.11912333220243454,0.11912333220243454
50,224,3,96,0.1,tanh,sgd,mean_squared_error,64.0,256.0,0.11966383829712868,0.21301575005054474,0.11966383829712868,0.11966383829712868
51,256,3,160,0.30000000000000004,tanh,sgd,mean_squared_error,32.0,128.0,0.12040607631206512,0.21468084305524826,0.12040607631206512,0.12040607631206512
52,160,1,96,0.30000000000000004,tanh,sgd,mean_squared_error,256.0,192.0,0.12441259622573853,0.21407748758792877,0.12441259622573853,0.12441259622573853
53,224,1,32,0.30000000000000004,tanh,sgd,mean_squared_error,32.0,,0.1293116807937622,0.219470776617527,0.1293116807937622,0.1293116807937622
54,64,3,128,0.2,tanh,sgd,mean_squared_error,160.0,192.0,0.13051148131489754,0.22663216292858124,0.13051148131489754,0.13051148131489754
55,64,3,224,0.5,elu,sgd,mean_squared_error,96.0,32.0,0.13244721293449402,0.2199661210179329,0.13244721293449402,0.13244721293449402
56,96,1,192,0.1,relu,sgd,mean_squared_error,128.0,96.0,0.13357197493314743,0.2265530601143837,0.13357197493314743,0.13357197493314743
57,128,1,32,0.4,relu,sgd,mean_squared_error,128.0,96.0,0.13495349884033203,0.22414453327655792,0.13495349884033203,0.13495349884033203
58,64,3,96,0.4,relu,rmsprop,mean_squared_error,128.0,128.0,0.13521353900432587,0.2185632437467575,0.13521353900432587,0.13521353900432587
59,192,1,128,0.30000000000000004,relu,sgd,mean_squared_error,128.0,160.0,0.13600437343120575,0.22627589851617813,0.13600437343120575,0.13600437343120575
60,32,1,32,0.2,tanh,sgd,mean_squared_error,32.0,128.0,0.13780996203422546,0.22610947489738464,0.13780996203422546,0.13780996203422546
61,192,2,128,0.30000000000000004,relu,sgd,mean_squared_error,32.0,160.0,0.13853276520967484,0.22562986612319946,0.13853276520967484,0.13853276520967484
62,192,1,224,0.4,relu,sgd,mean_squared_error,192.0,160.0,0.13944968208670616,0.22320802509784698,0.13944968208670616,0.13944968208670616
63,160,2,256,0.4,relu,sgd,mean_squared_error,64.0,128.0,0.14013798534870148,0.2259381115436554,0.14013798534870148,0.14013798534870148
64,32,2,96,0.5,relu,sgd,mean_squared_error,224.0,64.0,0.14299441874027252,0.240000918507576,0.14299441874027252,0.14299441874027252
65,192,3,32,0.30000000000000004,relu,sgd,mean_squared_error,192.0,32.0,0.14315719157457352,0.23076485097408295,0.14315719157457352,0.14315719157457352
66,64,1,192,0.30000000000000004,relu,sgd,mean_squared_error,160.0,32.0,0.14408062398433685,0.23090475797653198,0.14408062398433685,0.14408062398433685
67,96,2,192,0.30000000000000004,elu,sgd,mean_squared_error,192.0,64.0,0.14973371475934982,0.2261243239045143,0.14973371475934982,0.14973371475934982
68,96,1,224,0.1,tanh,sgd,mean_squared_error,96.0,32.0,0.15128935873508453,0.2375168800354004,0.15128935873508453,0.15128935873508453
69,192,1,192,0.4,tanh,adam,mean_absolute_error,160.0,32.0,0.16349557042121887,0.16349557042121887,0.07227763906121254,0.16349557042121887
70,224,1,96,0.1,relu,adam,mean_absolute_error,32.0,224.0,0.16517794877290726,0.16517794877290726,0.07386724278330803,0.16517794877290726
71,224,2,192,0.30000000000000004,elu,rmsprop,mean_absolute_error,64.0,32.0,0.16551531851291656,0.16551531851291656,0.07485047355294228,0.16551531851291656
72,224,1,128,0.4,elu,rmsprop,mean_absolute_error,160.0,224.0,0.16587016731500626,0.16587016731500626,0.07433302700519562,0.16587016731500626
73,128,1,192,0.4,elu,rmsprop,mean_absolute_error,192.0,64.0,0.1658933386206627,0.1658933386206627,0.07272020354866982,0.1658933386206627
74,160,2,96,0.4,elu,adam,mean_absolute_error,64.0,32.0,0.16606036573648453,0.16606036573648453,0.07394961267709732,0.16606036573648453
75,192,2,224,0.4,elu,rmsprop,mean_absolute_error,96.0,256.0,0.16665592044591904,0.16665592044591904,0.07726770266890526,0.16665592044591904
76,256,2,192,0.1,elu,rmsprop,mean_absolute_error,160.0,32.0,0.16718145459890366,0.16718145459890366,0.07572488486766815,0.16718145459890366
77,160,3,128,0.5,elu,adam,mean_absolute_error,128.0,32.0,0.16723833233118057,0.16723833233118057,0.0762978121638298,0.16723833233118057
78,256,2,192,0.30000000000000004,elu,rmsprop,mean_absolute_error,32.0,160.0,0.1688695177435875,0.1688695177435875,0.07980576157569885,0.1688695177435875
79,96,1,224,0.5,relu,rmsprop,mean_absolute_error,192.0,192.0,0.16974478214979172,0.16974478214979172,0.07672896236181259,0.16974478214979172
80,128,1,128,0.5,tanh,adam,mean_absolute_error,192.0,224.0,0.1702965870499611,0.1702965870499611,0.07725848630070686,0.1702965870499611
81,256,1,32,0.1,tanh,rmsprop,mean_absolute_error,256.0,192.0,0.1704249382019043,0.1704249382019043,0.09296438843011856,0.1704249382019043
82,192,3,96,0.5,elu,rmsprop,mean_absolute_error,64.0,64.0,0.17070916295051575,0.17070916295051575,0.09074079245328903,0.17070916295051575
83,160,2,96,0.4,tanh,rmsprop,mean_absolute_error,192.0,64.0,0.17110946774482727,0.17110946774482727,0.08175875246524811,0.17110946774482727
84,96,2,64,0.4,elu,adam,mean_absolute_error,96.0,192.0,0.1717609390616417,0.1717609390616417,0.08175653964281082,0.1717609390616417
85,96,1,224,0.1,elu,rmsprop,mean_absolute_error,192.0,96.0,0.1718904823064804,0.1718904823064804,0.0825754664838314,0.1718904823064804
86,128,1,64,0.2,elu,adam,mean_absolute_error,256.0,160.0,0.1725684478878975,0.1725684478878975,0.07631324604153633,0.1725684478878975
