,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2006-12-10 18:00:00,2006-12-10 20:00:00,-29.0,-31.347973
1,2006-12-10 19:00:00,2006-12-10 21:00:00,-27.0,-27.73144
2,2006-12-10 20:00:00,2006-12-10 22:00:00,-34.0,-26.73088
3,2006-12-10 21:00:00,2006-12-10 23:00:00,-33.0,-28.969507
4,2006-12-10 22:00:00,2006-12-11 00:00:00,-32.0,-28.797535
5,2006-12-10 23:00:00,2006-12-11 01:00:00,-28.0,-35.24775
6,2006-12-11 00:00:00,2006-12-11 02:00:00,-27.0,-32.18354
7,2006-12-11 01:00:00,2006-12-11 03:00:00,-24.0,-29.130451
8,2006-12-11 02:00:00,2006-12-11 04:00:00,-27.0,-24.732004
9,2006-12-11 03:00:00,2006-12-11 05:00:00,-35.0,-24.757051
10,2006-12-11 04:00:00,2006-12-11 06:00:00,-32.0,-31.881557
11,2006-12-11 05:00:00,2006-12-11 07:00:00,-30.0,-31.44584
12,2006-12-11 06:00:00,2006-12-11 08:00:00,-26.0,-30.506216
13,2006-12-11 07:00:00,2006-12-11 09:00:00,-25.0,-28.523216
14,2006-12-11 08:00:00,2006-12-11 10:00:00,-28.0,-24.060263
15,2006-12-11 09:00:00,2006-12-11 11:00:00,-27.0,-24.282873
16,2006-12-11 10:00:00,2006-12-11 12:00:00,-29.0,-24.894058
17,2006-12-11 11:00:00,2006-12-11 13:00:00,-30.0,-25.544886
18,2006-12-11 12:00:00,2006-12-11 14:00:00,-31.0,-29.08026
19,2006-12-11 13:00:00,2006-12-11 15:00:00,-29.0,-27.160667
20,2006-12-11 14:00:00,2006-12-11 16:00:00,-28.0,-27.339478
21,2006-12-11 15:00:00,2006-12-11 17:00:00,-22.0,-25.777569
22,2006-12-11 16:00:00,2006-12-11 18:00:00,-17.0,-24.794346
23,2006-12-11 17:00:00,2006-12-11 19:00:00,-15.0,-20.245253
24,2006-12-11 18:00:00,2006-12-11 20:00:00,-16.0,-19.427277
25,2006-12-11 19:00:00,2006-12-11 21:00:00,-21.0,-18.159975
