,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2014-02-14 19:00:00,2014-02-14 23:00:00,1.0,4.970848211136868
1,2014-02-14 20:00:00,2014-02-15 00:00:00,-3.0,3.1694147137474147
2,2014-02-14 21:00:00,2014-02-15 01:00:00,-7.0000000000000036,4.609841980226655
3,2014-02-14 22:00:00,2014-02-15 02:00:00,-9.0,3.407309177174291
4,2014-02-14 23:00:00,2014-02-15 03:00:00,-5.0,3.861736624590641
5,2014-02-15 00:00:00,2014-02-15 04:00:00,0.0,-1.807007973777349
6,2014-02-15 01:00:00,2014-02-15 05:00:00,2.0,-8.005654568396704
7,2014-02-15 02:00:00,2014-02-15 06:00:00,3.0,-8.365510191603324
8,2014-02-15 03:00:00,2014-02-15 07:00:00,3.0,-0.7270366050768402
9,2014-02-15 04:00:00,2014-02-15 08:00:00,1.0,0.3398055695349882
10,2014-02-15 05:00:00,2014-02-15 09:00:00,-5.0,1.1186148473805275
11,2014-02-15 06:00:00,2014-02-15 10:00:00,-6.0,0.8024329300588136
12,2014-02-15 07:00:00,2014-02-15 11:00:00,-1.0,-0.003439504390726711
13,2014-02-15 08:00:00,2014-02-15 12:00:00,8.0,-1.4907836407813804
14,2014-02-15 09:00:00,2014-02-15 13:00:00,24.0,-2.842699402979793
15,2014-02-15 10:00:00,2014-02-15 14:00:00,24.0,-2.074711839432556
16,2014-02-15 11:00:00,2014-02-15 15:00:00,29.0,3.6692985915622316
17,2014-02-15 12:00:00,2014-02-15 16:00:00,31.0,10.968907014346165
18,2014-02-15 13:00:00,2014-02-15 17:00:00,34.0,16.64900803959462
19,2014-02-15 14:00:00,2014-02-15 18:00:00,38.0,10.583321287833364
20,2014-02-15 15:00:00,2014-02-15 19:00:00,39.0,20.55995715357537
21,2014-02-15 16:00:00,2014-02-15 20:00:00,42.0,17.11023167100449
22,2014-02-15 17:00:00,2014-02-15 21:00:00,44.0,16.74087314222009
23,2014-02-15 18:00:00,2014-02-15 22:00:00,38.0,16.135585066096624
24,2014-02-15 19:00:00,2014-02-15 23:00:00,27.0,15.551070616197904
25,2014-02-15 20:00:00,2014-02-16 00:00:00,6.0,16.037170768207133
26,2014-02-15 21:00:00,2014-02-16 01:00:00,-13.0,9.849225776083372
27,2014-02-15 22:00:00,2014-02-16 02:00:00,-5.0,4.205122947639282
