,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,0.37478116716416543,2024-07-20 13:12:22.517932,2024-07-20 13:12:23.430924,0 days 00:00:00.912992,0.001,1.0,linear,0,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
1,1,0.27818388579868103,2024-07-20 13:12:23.552645,2024-07-20 13:12:36.337164,0 days 00:00:12.784519,0.001,0.1,linear,1,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
2,2,,2024-07-20 13:12:36.481753,2024-07-20 13:14:36.694061,0 days 00:02:00.212308,3.7275937203149416,0.1,linear,2,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
3,3,0.25730769602860787,2024-07-20 13:14:36.772522,2024-07-20 13:15:27.884128,0 days 00:00:51.111606,0.13894954943731375,0.1,linear,3,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
4,4,15.354493956355276,2024-07-20 13:15:27.952013,2024-07-20 13:15:28.168019,0 days 00:00:00.216006,0.7196856730011522,10.0,linear,4,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
5,5,15.354493956355276,2024-07-20 13:15:28.236074,2024-07-20 13:15:28.461712,0 days 00:00:00.225638,19.306977288832496,10.0,linear,5,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
6,6,,2024-07-20 13:15:28.523253,2024-07-20 13:17:28.772133,0 days 00:02:00.248880,19.306977288832496,0.001,linear,6,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
7,7,0.2803215236989071,2024-07-20 13:17:28.866918,2024-07-20 13:17:54.844185,0 days 00:00:25.977267,0.001,0.01,linear,7,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
8,8,0.25962032381880235,2024-07-20 13:17:54.966642,2024-07-20 13:18:39.086462,0 days 00:00:44.119820,0.02682695795279726,0.01,linear,8,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
9,9,,2024-07-20 13:18:39.267195,2024-07-20 13:20:39.618925,0 days 00:02:00.351730,19.306977288832496,0.1,linear,9,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
