,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 15:14:25.761847,2024-07-20 15:16:27.647387,0 days 00:02:01.885540,1000.0,1.0,4,0.31622776601683794,scale,poly,0,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
1,1,2.03828683298109,2024-07-20 15:16:27.884913,2024-07-20 15:17:23.107117,0 days 00:00:55.222204,1.0,1.0,4,0.31622776601683794,scale,poly,1,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
2,2,15.354493956355276,2024-07-20 15:17:23.532824,2024-07-20 15:17:24.709808,0 days 00:00:01.176984,1.0,1.0,4,10.0,scale,poly,2,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
3,3,15.354493956355276,2024-07-20 15:17:25.029852,2024-07-20 15:17:26.009978,0 days 00:00:00.980126,1000.0,0.1,3,10.0,scale,poly,3,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
4,4,5.388334412729042,2024-07-20 15:17:26.330709,2024-07-20 15:18:14.346231,0 days 00:00:48.015522,1.0,1.0,5,0.31622776601683794,scale,poly,4,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
5,5,15.354493956355276,2024-07-20 15:18:14.681483,2024-07-20 15:18:15.788041,0 days 00:00:01.106558,1000.0,1.0,5,10.0,scale,poly,5,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
6,6,,2024-07-20 15:18:16.179069,2024-07-20 15:20:17.237696,0 days 00:02:01.058627,1000.0,1.0,5,0.01,scale,poly,6,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
7,7,0.3510428906729245,2024-07-20 15:20:17.444838,2024-07-20 15:21:43.497161,0 days 00:01:26.052323,0.001,1.0,3,0.01,scale,poly,7,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
8,8,,2024-07-20 15:21:43.933640,2024-07-20 15:23:45.023847,0 days 00:02:01.090207,1.0,1.0,3,0.01,scale,poly,8,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
9,9,,2024-07-20 15:23:45.410614,2024-07-20 15:25:47.064346,0 days 00:02:01.653732,1000.0,1.0,3,0.01,scale,poly,9,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
