,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 14:18:10.521826,2024-07-20 14:20:11.214121,0 days 00:02:00.692295,63.0957344480193,0.004641588833612782,auto,rbf,0,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
1,1,15.354493956355276,2024-07-20 14:20:11.387624,2024-07-20 14:20:12.176080,0 days 00:00:00.788456,0.25118864315095796,10.0,scale,rbf,1,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
2,2,0.43983936001201185,2024-07-20 14:20:12.460769,2024-07-20 14:21:39.113942,0 days 00:01:26.653173,0.25118864315095796,0.0001,auto,rbf,2,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
3,3,0.5880962936839278,2024-07-20 14:21:39.354782,2024-07-20 14:23:01.726003,0 days 00:01:22.371221,0.015848931924611134,0.0001,scale,rbf,3,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
4,4,0.9242776089337948,2024-07-20 14:23:01.985750,2024-07-20 14:24:26.343030,0 days 00:01:24.357280,0.001,0.004641588833612782,scale,rbf,4,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
5,5,0.9266579810919677,2024-07-20 14:24:26.847831,2024-07-20 14:25:49.043778,0 days 00:01:22.195947,0.001,0.004641588833612782,auto,rbf,5,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
6,6,15.354493956355276,2024-07-20 14:25:49.280687,2024-07-20 14:25:50.015806,0 days 00:00:00.735119,63.0957344480193,10.0,scale,rbf,6,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
7,7,0.3950356189708844,2024-07-20 14:25:50.283804,2024-07-20 14:26:50.990124,0 days 00:01:00.706320,63.0957344480193,0.21544346900318845,auto,rbf,7,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
8,8,15.354493956355276,2024-07-20 14:26:51.396785,2024-07-20 14:26:53.779998,0 days 00:00:02.383213,1000.0,10.0,auto,rbf,8,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
9,9,,2024-07-20 14:26:54.124765,2024-07-20 14:28:54.793033,0 days 00:02:00.668268,1000.0,0.0001,scale,rbf,9,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
10,10,,2024-07-20 14:28:54.964754,2024-07-20 14:30:55.681186,0 days 00:02:00.716432,63.0957344480193,0.0001,scale,rbf,10,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
11,11,15.354493956355276,2024-07-20 14:30:56.124608,2024-07-20 14:30:57.813030,0 days 00:00:01.688422,0.25118864315095796,10.0,auto,rbf,11,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
12,12,15.354493956355276,2024-07-20 14:30:58.416806,2024-07-20 14:30:59.776606,0 days 00:00:01.359800,0.015848931924611134,10.0,scale,rbf,12,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
13,13,0.3570269019676401,2024-07-20 14:31:00.116749,2024-07-20 14:31:43.743956,0 days 00:00:43.627207,3.981071705534969,0.21544346900318845,scale,rbf,13,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
14,14,0.4321763833896253,2024-07-20 14:31:44.189821,2024-07-20 14:32:16.791281,0 days 00:00:32.601460,0.25118864315095796,0.21544346900318845,auto,rbf,14,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
15,15,0.5922844213365333,2024-07-20 14:32:17.071753,2024-07-20 14:33:51.717038,0 days 00:01:34.645285,0.015848931924611134,0.0001,auto,rbf,15,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
16,16,0.43660144906176257,2024-07-20 14:33:52.351814,2024-07-20 14:35:31.873849,0 days 00:01:39.522035,0.25118864315095796,0.0001,scale,rbf,16,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
17,17,0.5922595183001426,2024-07-20 14:35:32.169899,2024-07-20 14:37:07.540788,0 days 00:01:35.370889,0.015848931924611134,0.004641588833612782,auto,rbf,17,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
18,18,15.354493956355276,2024-07-20 14:37:07.867957,2024-07-20 14:37:08.676831,0 days 00:00:00.808874,0.015848931924611134,10.0,auto,rbf,18,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
19,19,,2024-07-20 14:37:09.024545,2024-07-20 14:39:10.572641,0 days 00:02:01.548096,3.981071705534969,0.004641588833612782,auto,rbf,19,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
20,20,,2024-07-20 14:39:10.951852,2024-07-20 14:41:12.112994,0 days 00:02:01.161142,63.0957344480193,0.004641588833612782,scale,rbf,20,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
21,21,15.354493956355276,2024-07-20 14:41:12.302782,2024-07-20 14:41:13.191812,0 days 00:00:00.889030,0.001,10.0,auto,rbf,21,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
