,Min. Dst (nT),start,end,storm
0,-149,2001-03-19 15:00:00,2001-03-21 23:00:00,1
1,-387,2001-03-31 04:00:00,2001-04-01 21:00:00,2
2,-114,2001-04-18 01:00:00,2001-04-18 13:00:00,3
3,-102,2001-04-22 02:00:00,2001-04-23 15:00:00,4
4,-105,2001-08-17 16:00:00,2001-08-18 16:00:00,5
5,-148,2001-09-30 23:00:00,2001-10-02 00:00:00,6
6,-187,2001-10-21 17:00:00,2001-10-24 11:00:00,7
7,-157,2001-10-28 03:00:00,2001-10-29 22:00:00,8
8,-100,2002-03-23 14:00:00,2002-03-25 05:00:00,9
9,-127,2002-04-17 11:00:00,2002-04-19 02:00:00,10
10,-149,2002-04-19 09:00:00,2002-04-21 06:00:00,11
11,-110,2002-05-11 10:00:00,2002-05-12 16:00:00,12
12,-109,2002-05-23 12:00:00,2002-05-24 23:00:00,13
13,-102,2002-08-01 23:00:00,2002-08-02 09:00:00,14
14,-109,2002-09-04 01:00:00,2002-09-05 00:00:00,15
15,-181,2002-09-07 14:00:00,2002-09-08 20:00:00,16
16,-176,2002-10-01 06:00:00,2002-10-03 08:00:00,17
17,-128,2002-11-20 16:00:00,2002-11-22 06:00:00,18
18,-144,2003-05-29 20:00:00,2003-05-30 10:00:00,19
19,-141,2003-06-17 19:00:00,2003-06-19 03:00:00,20
20,-105,2003-07-11 15:00:00,2003-07-12 16:00:00,21
21,-148,2003-08-17 18:00:00,2003-08-19 11:00:00,22
22,-422,2003-11-20 12:00:00,2003-11-22 00:00:00,23
23,-149,2004-01-22 03:00:00,2004-01-24 00:00:00,24
24,-105,2004-02-11 10:00:00,2004-02-12 00:00:00,25
25,-112,2004-04-03 14:00:00,2004-04-04 08:00:00,26
26,-101,2004-07-22 20:00:00,2004-07-23 20:00:00,27
27,-148,2004-07-24 21:00:00,2004-07-26 17:00:00,28
28,-197,2004-07-26 22:00:00,2004-07-30 05:00:00,29
29,-126,2004-08-30 05:00:00,2004-08-31 21:00:00,30
30,-109,2004-11-11 22:00:00,2004-11-13 13:00:00,31
31,-105,2005-01-21 18:00:00,2005-01-23 05:00:00,32
32,-127,2005-05-07 20:00:00,2005-05-09 10:00:00,33
33,-138,2005-05-29 22:00:00,2005-05-31 08:00:00,34
34,-106,2005-06-12 17:00:00,2005-06-13 19:00:00,35
35,-131,2005-08-31 12:00:00,2005-09-01 12:00:00,36
36,-111,2006-04-13 20:00:00,2006-04-14 23:00:00,37
37,-147,2006-12-14 21:00:00,2006-12-16 03:00:00,38
38,-101,2011-09-26 14:00:00,2011-09-27 12:00:00,39
39,-132,2011-10-24 20:00:00,2011-10-25 14:00:00,40
40,-131,2012-03-08 12:00:00,2012-03-10 16:00:00,41
41,-108,2012-04-23 11:00:00,2012-04-24 13:00:00,42
42,-127,2012-07-15 01:00:00,2012-07-16 23:00:00,43
43,-119,2012-09-30 13:00:00,2012-10-01 18:00:00,44
44,-105,2012-10-08 02:00:00,2012-10-09 17:00:00,45
45,-108,2012-11-13 18:00:00,2012-11-14 18:00:00,46
46,-132,2013-03-17 07:00:00,2013-03-18 10:00:00,47
47,-119,2013-05-31 18:00:00,2013-06-01 20:00:00,48
48,-112,2014-02-18 15:00:00,2014-02-19 16:00:00,49
